"la_stud","sex","nonwhite","first.gen","finaid_ever","act_new","hs_gpa","credits_entry","grade","fail"
1,0,0,1,1,25,3.233,11,3,0
1,0,0,0,0,24,3,0,0,1
0,0,0,0,0,20,3.714,0,2.7,0
1,1,0,0,1,34,3.391,13,2.3,0
1,1,1,0,1,23,4,16,2,0
0,1,0,0,0,24,3.841,0,3.3,0
1,1,1,1,1,24,3.384,0,0,1
1,1,0,0,1,22,3.55,0,2,0
0,0,0,0,1,26,3.542,8,0,1
0,0,1,1,1,25,3.402,0,3,0
0,1,1,1,1,26,3.745,0,2.3,0
0,1,0,0,1,23,3.304,0,0,1
0,1,0,0,0,27,4,0,3,0
0,1,0,0,0,22,3.886,0,3.3,0
1,1,0,0,0,28,4,25,3,0
1,0,0,0,0,22,3.379,0,2.7,0
1,1,0,0,0,28,4,6,3.7,0
0,0,0,0,1,22,3.209,0,2,0
0,1,0,1,1,25,3.926,3,2,0
1,0,0,0,1,29,3.387,6,2.3,0
1,0,0,0,0,25,3.461,0,2.7,0
1,0,1,1,1,25,3.339,4,3,0
1,0,1,1,0,25,3.596,19,2,0
1,1,0,0,0,30,4,9,3.7,0
1,0,0,1,0,26,3.63,0,0,1
0,0,0,0,1,32,4,9,3.7,0
1,1,0,0,0,33,4,31,4,0
0,1,0,0,0,26,3.717,15,2,0
1,0,0,1,1,21,3.853,3,2,0
0,1,0,0,1,26,3.782,8,2.3,0
1,0,1,1,1,25,2.84,0,3,0
1,0,0,0,1,23,3.346,0,1,1
0,0,0,0,0,25,3.232,8,2,0
0,0,0,0,1,25,3.37,0,4,0
1,0,1,0,1,29,4,25,3.7,0
0,0,0,0,0,21,3.833,0,3,0
1,1,0,0,0,27,3.886,4,3,0
1,0,1,0,0,27,3.157,4,3,0
0,0,0,0,0,26,3.278,0,3.7,0
